Temperature,Humidity,Wind_Speed,Cloud_Cover,Pressure,Rain
23.7203376,89.59264065,7.335604391,50.50169383,103237.8759,rain
27.87973416,46.48970404,5.952483593,4.990052928,99261.41895,no rain
25.0690844,83.07284289,1.371991818,14.85578394,100723.162,no rain
23.62207957,74.36775792,7.050550633,67.25528206,98263.20127,rain
20.59136998,96.85882241,4.643920926,47.67644428,98082.51417,no rain
26.14735283,48.21726041,15.25854676,59.76627863,104973.8751,no rain
20.93968028,40.79944444,2.232565997,45.82750842,101417.3766,no rain
32.29432502,51.84847107,2.873620839,92.55149725,100604.1733,no rain
34.09156901,48.05711447,5.570206018,82.52487277,99373.20466,no rain
19.58603797,82.97829323,5.760536587,98.0144499,103650.3457,rain
29.79312595,81.31765127,16.92609873,93.92329417,102940.269,no rain
23.22237299,76.87794306,15.82567313,72.86978987,98010.89339,rain
24.20111403,45.14653801,11.57271266,5.253042102,103398.5867,no rain
33.13991596,90.32647652,5.771773577,99.91017767,98780.37922,no rain
11.77590145,96.96000891,6.377567064,47.33186957,104640.4288,no rain
12.17823249,67.21240727,11.8443655,6.099703564,100329.1526,no rain
10.50545994,75.45609114,14.79733118,99.14233105,101157.7194,rain
30.81549614,65.04844693,7.681961102,57.03767176,98034.86634,no rain
29.45391877,49.84904006,10.19124057,45.90040227,103770.7488,no rain
31.75030371,50.03033228,17.76066273,1.978943083,100157.1778,no rain
34.46545856,51.93943659,12.99581713,42.84011695,101895.1281,no rain
29.97896411,43.35950029,10.71100264,18.32707472,104486.2056,no rain
21.53698406,93.13465428,1.424449223,71.89489922,99093.55668,rain
29.51322941,90.08786938,3.520304236,0.786690252,104071.3073,no rain
12.95686065,62.31475529,4.019831676,53.30356805,101501.6725,no rain
25.99802553,55.70759888,12.46296585,4.371621837,104471.1932,no rain
13.58383219,95.73548496,2.162255034,71.48299959,103756.4854,rain
33.61672293,45.56614285,0.5798974,95.30194928,101100.8602,no rain
23.04620804,68.74793716,7.207011153,4.332054825,98620.9824,no rain
20.3665485,33.81487089,14.37718357,10.30841612,98211.38218,no rain
16.6138903,43.38415379,13.86498709,51.55929737,104119.6157,no rain
29.35584224,72.28188534,15.85340704,98.24621044,101319.9944,no rain
21.40375831,76.3528557,13.92496513,41.14567308,102645.8644,no rain
24.21084872,70.66970731,12.26571157,61.55729546,104171.5389,rain
10.46974501,90.87209912,9.723241935,76.16533303,100132.6129,rain
25.44088743,99.53836546,4.16996641,92.79200892,104270.3411,no rain
25.30239307,83.47032895,11.37096112,17.70166511,98192.72708,no rain
25.42334992,62.55642489,12.73249496,91.14260153,99959.47975,no rain
33.59370196,88.37542686,2.474866568,62.64242471,103682.3648,no rain
27.04550748,38.42711759,11.30294677,80.56069162,103972.5422,no rain
18.98769751,77.82894875,1.954974264,29.55552224,104613.8478,no rain
20.92579884,66.28364512,10.94153605,50.01009596,100121.0789,no rain
27.4407799,42.46461204,3.17837782,20.89591901,103461.6491,no rain
11.50563679,98.10535321,2.380270944,85.46041336,104895.9121,rain
26.66916789,53.69061938,2.26200112,20.45790925,101689.0421,no rain
26.76594674,73.07963842,18.22050626,54.83267786,99768.17403,no rain
15.25956403,91.50159663,11.96174635,41.79132134,98272.73621,no rain
13.22315744,65.46821907,5.003174444,4.958951321,103317.5714,no rain
17.88570877,38.05964951,1.42897756,41.21476492,98971.91769,no rain
19.09276927,87.3117359,10.72362837,78.43974193,100708.5982,rain
24.25491926,54.72496369,2.896059418,52.8932521,100164.9452,no rain
20.96503784,98.81468082,15.56805869,30.47968907,100917.9547,no rain
34.70934595,91.86778125,9.922193132,44.54133154,104341.993,no rain
12.55112027,89.74145333,14.5289777,77.42655998,100981.6343,rain
15.2219189,54.93772243,7.914531976,66.81537598,104389.2102,no rain
14.03273795,82.99908445,14.04645489,11.09032412,103637.806,no rain
26.32770814,99.04303441,13.69228713,53.12465782,100018.6483,no rain
16.33229006,66.84251284,11.22832416,19.8695239,100226.6231,no rain
21.65776932,62.95125085,16.91479268,97.84073091,100588.9096,no rain
16.1106398,31.02660747,11.64947147,73.8625373,102239.5303,no rain
13.97423959,79.01426381,11.56220822,8.100079497,102718.4376,no rain
12.75937853,90.0934298,6.159662147,24.82292592,104805.6088,no rain
26.40823974,47.32200303,18.63012532,7.812567561,104485.6124,no rain
13.45457378,52.0517204,10.34279143,37.00963577,102283.102,no rain
14.91455904,65.04739149,7.834293151,82.26845545,98323.67146,no rain
19.21812927,35.04561102,10.83284583,6.675554834,101817.1533,no rain
30.52483075,36.27497333,2.904842775,16.53571994,100825.4815,no rain
12.42753189,59.47775312,5.302504742,26.74452437,101813.4511,no rain
30.94862269,48.28532669,6.133637243,62.40803016,98281.23461,no rain
12.4024602,58.42261118,10.30317538,97.46834479,104970.3355,no rain
34.41148663,61.80704087,13.91021668,82.27320657,98398.70859,no rain
21.71628004,98.33913777,5.744049243,20.09265169,99908.75954,no rain
34.4190272,96.09818741,2.715319912,71.00628067,98504.8682,no rain
25.12113799,39.78111061,11.18436366,55.63877522,101833.2777,no rain
28.48158948,91.78101816,17.09299663,49.16278652,100462.7281,no rain
10.97969481,35.61446636,8.364641727,90.8385807,100627.0989,no rain
17.07017406,65.53448288,9.515458179,58.81297559,103524.1726,no rain
13.00491403,41.47369301,5.784170243,13.72096748,104328.1408,no rain
17.40350494,55.61245017,16.17668247,16.49677906,99159.87888,no rain
12.96819297,82.0338158,2.413298908,92.19734139,99952.83858,rain
17.94957948,59.71538355,3.421774354,8.020519582,101309.1003,no rain
20.35657486,86.48659013,19.99913226,13.79141104,98790.17169,no rain
11.60368741,80.31709977,13.64431505,65.31136838,100705.7666,rain
27.31180298,95.99876123,10.96104813,22.43374114,100114.6163,no rain
24.16503636,67.39092144,15.9021589,82.60991034,104453.8344,no rain
16.63473727,86.15035678,19.93764909,41.60064779,99389.73884,no rain
23.08120134,52.60349744,3.817485617,48.23998128,103048.4798,no rain
12.34851277,54.20220916,15.82786078,12.86381577,99511.25246,no rain
24.39866239,58.03573245,6.843241652,2.816360975,102379.6087,no rain
33.23240494,58.7641014,14.6246537,75.92362322,102073.9351,no rain
17.96422381,37.22772545,14.15319455,7.398970375,101211.07,no rain
26.6852595,66.33692575,19.96660086,64.01590204,103718.3511,no rain
13.29494656,36.77622535,2.237441037,53.75314513,99559.02036,no rain
27.9081801,92.28334951,0.042507896,51.84905464,101340.9616,no rain
17.23515232,34.32913483,14.95568929,29.96850222,104876.9232,no rain
14.57978405,61.47861012,11.37553837,75.60286357,99282.83253,no rain
24.66282337,49.92858465,13.81748256,40.06135514,101818.0272,no rain
10.50268865,40.8408591,15.0705007,15.12545718,100051.7405,no rain
30.72350073,84.86856836,9.870131036,5.604314038,98866.64242,no rain
10.1173869,80.04526792,7.130690501,34.25479958,103961.1509,no rain
26.94541342,40.21635231,15.40751773,60.80549795,102043.7519,no rain
16.75019933,74.29359488,7.602598573,22.03220932,102051.8048,no rain
28.37985055,85.47886171,12.44384539,74.22047934,101817.3432,no rain
34.05471363,84.13325543,17.86812053,10.87258133,99291.27675,no rain
16.21882859,36.45957184,3.167829442,47.19647572,101980.4322,no rain
24.40393336,77.98589033,0.178123198,53.67042533,98639.7231,rain
24.80104828,80.12167446,5.135132224,82.10120963,102778.4931,rain
24.30629764,90.35163869,15.94943887,11.7947683,98360.20018,no rain
15.57704082,65.56310372,11.33651285,0.167499407,99324.05782,no rain
33.81872529,62.27658002,18.92321727,53.37097118,100059.5246,no rain
21.17813447,97.55814274,10.957482,15.07250722,99952.51852,no rain
31.16021681,85.7558579,5.315627652,57.16933663,103684.716,no rain
27.48698188,69.11116936,15.31770609,3.290280576,100014.2545,no rain
17.43592377,53.14319499,13.15100772,49.06750196,98517.70531,no rain
30.34494549,89.16665972,16.4136672,39.07400058,98475.87886,no rain
19.91264352,61.88054726,13.35996952,15.62473824,99045.89464,no rain
32.02757993,36.48796345,9.038980207,46.78472414,100759.3433,no rain
24.53182182,61.84329909,5.541653382,47.71694083,99377.69964,no rain
32.04338405,91.03778773,1.112009295,6.788143434,99645.15652,no rain
27.31328975,61.37975028,6.158725054,67.69077928,99287.82959,no rain
28.131357,31.00444034,0.925169551,91.36999731,100091.1478,no rain
22.53310955,72.80397267,8.600541415,61.34427335,101534.0111,rain
33.90209087,99.70810024,4.515998238,62.71912946,104799.4295,no rain
26.09975498,87.20740088,14.07295217,74.84030553,103543.9331,no rain
20.59637621,73.20665626,4.403570531,93.60706086,99207.64492,rain
25.15983035,94.00792208,1.628636711,98.247701,103619.9548,no rain
10.47982996,86.95071772,16.77594557,49.26848753,102970.6512,no rain
17.53937042,64.90475469,1.200657206,94.5007834,104340.5889,no rain
26.50433844,71.38541998,15.01916919,35.92426406,101042.9471,no rain
17.25194018,81.19049664,18.58850652,72.76448019,104069.6908,rain
25.45038572,89.24983148,2.142582374,93.67956852,102886.6318,no rain
20.71921752,34.07234817,11.1933586,1.623277738,99911.64803,no rain
13.38685161,84.23627,9.034534205,92.05432422,100728.433,rain
17.45705815,61.3252408,15.97420117,88.50501127,103869.3501,no rain
24.24912277,76.25589922,12.46960012,20.54858026,103653.986,no rain
24.77181903,83.52431077,5.565468731,40.97135997,99718.54181,no rain
24.35813122,67.76513475,0.029380123,12.29196433,103853.9172,no rain
26.3300205,41.09603954,9.657354577,74.7186807,104620.2995,no rain
26.30258175,58.66687821,17.88217765,77.74135602,104144.3862,no rain
20.78546089,35.38110956,18.10726341,88.09419204,100669.0162,no rain
32.4136649,78.25104838,2.505939661,44.14519607,101788.1326,no rain
19.18904675,96.75943274,17.21353935,63.00614902,103921.7245,rain
20.89662313,85.66769686,0.688625716,84.36475203,103014.803,rain
32.29808388,57.2850496,1.846985507,9.337831725,102963.7346,no rain
30.15484973,70.90040472,19.32441625,11.91581676,99996.76023,no rain
27.59721459,51.29404731,7.739348144,81.77846534,102275.6132,no rain
12.50567218,67.87319197,1.415677933,44.19694737,98381.22781,no rain
32.98706534,51.0508834,9.409107087,80.28693878,100080.0318,no rain
27.85603249,81.68273298,0.922740395,0.015038108,99419.52206,no rain
34.97117516,48.15390556,0.327403098,11.50280796,100709.102,no rain
13.73620762,97.48142733,11.23500459,36.83432644,103167.6071,no rain
31.70315143,76.33641125,4.224124396,39.76572006,99823.78789,no rain
14.06232337,34.81444934,12.4382518,83.37578807,99252.40564,no rain
25.38898911,30.75444345,6.693985277,50.97824983,103894.2497,no rain
13.09549957,99.79324409,2.649540658,91.79645341,104405.6857,rain
31.20020573,45.43539048,19.68803716,42.46977057,101123.5162,no rain
30.18297397,51.87939239,4.99882831,6.696385262,99711.4844,no rain
24.22751847,44.58898099,1.239542921,45.79620447,99766.56131,no rain
20.17958243,94.96712407,5.576732404,41.10087837,100913.2592,no rain
11.72917489,75.64090018,5.034001118,54.94572519,103617.1006,rain
27.43571933,65.30704265,5.992926084,63.9829154,101930.3718,no rain
21.33856707,69.03555701,7.113484624,5.890447044,102041.3516,no rain
28.05138999,52.25109931,16.10330362,61.75294327,104847.1012,no rain
31.65955815,72.99225017,1.195688719,13.22736703,98543.72638,no rain
34.38803763,59.37202544,7.090653401,43.18131839,101325.0938,no rain
31.39508356,43.94597025,2.074910859,89.23301731,101355.8161,no rain
10.2928521,75.96235698,19.64393292,13.38365281,101877.8178,no rain
18.99945161,56.16883985,2.879434646,20.87595066,99175.58166,no rain
28.24976406,84.95464654,9.580698896,42.30187634,99182.45504,no rain
14.29074193,59.07764703,9.600868652,6.039387125,100908.1399,no rain
23.02591516,65.57899625,15.62356417,28.62766139,102243.5208,no rain
11.35844971,85.12265354,5.442917426,7.746912783,100119.6177,no rain
14.99991312,61.3514665,14.75547715,47.70436211,101482.6344,no rain
10.46304486,97.63547946,0.526771183,57.33787248,104907.3009,rain
29.84244258,85.5120067,18.54300875,74.92823555,98213.01712,no rain
15.5981172,87.85012837,1.979113025,92.32393801,101261.071,rain
18.63379202,96.77443267,9.616590088,43.76208941,101317.3329,no rain
33.20203234,57.21954402,3.468594265,62.78099516,102842.6447,no rain
27.61036005,70.60561849,7.372335459,6.006829089,99864.80081,no rain
10.79597324,78.55142186,12.84041034,47.53138283,103599.5385,no rain
14.11735391,77.14209385,2.8494435,87.0007363,100806.9539,rain
25.53696004,96.70557562,5.782170399,59.22786871,98666.13675,no rain
24.43071472,50.18440437,13.58364665,37.5101413,102410.4235,no rain
15.94732053,50.395307,16.89089095,8.924627035,98184.75201,no rain
33.35534995,94.26030814,11.85795525,49.85858789,103017.6154,no rain
25.3491489,85.95139492,10.45969331,91.87033173,98084.98208,no rain
23.39082008,44.23496368,2.192180245,7.389422817,102176.6914,no rain
24.74774941,69.90328147,2.930809231,53.0871419,104096.2439,no rain
28.25305074,82.20346139,19.16382742,42.63232855,102888.859,no rain
17.79862489,54.71254733,0.052497202,75.94638594,102370.4063,no rain
19.95552656,60.40675759,9.688373727,15.11504764,101022.5379,no rain
15.24609372,70.27776282,15.12684961,17.11952774,100353.3686,no rain
14.65482515,62.69759903,4.199260604,71.60043513,100592.0686,no rain
33.60930975,82.7129673,9.191274327,67.99575135,100625.1849,no rain
28.48876988,30.41571276,9.861223819,51.76827935,101709.1854,no rain
22.26147022,60.42427671,5.207943154,0.455807091,99003.31057,no rain
15.6853657,53.63069627,17.57502502,85.5664776,104173.1735,no rain
16.35891204,72.6414837,18.5031236,98.73976729,102381.1288,rain
11.45072901,84.31709093,14.98673701,66.74442074,100621.0536,rain
20.86041564,35.33016135,0.172731834,93.32279456,104875.4851,no rain
17.79489705,41.06418135,12.57851135,75.7814603,104107.6928,no rain
27.40858722,76.55571369,4.64223736,68.41619232,102247.7133,no rain
19.44379598,81.68817087,5.343693182,35.12634959,100602.2417,no rain
14.49009194,71.1741244,3.676079098,7.96596651,100583.657,no rain
10.61696821,98.79623443,11.44822857,3.217089089,98466.94708,no rain
11.68124079,64.96230424,8.934373119,45.05615336,100397.6468,no rain
26.98481934,39.54046346,3.871282187,45.95357416,99719.7896,no rain
21.34242111,78.04037423,18.65281862,38.61852432,102259.8579,no rain
23.41448028,72.14528655,4.784463066,2.992301439,103041.1444,no rain
32.41678233,71.32950325,15.57477807,19.93452369,100046.9737,no rain
34.75847368,68.20975447,0.493818005,13.65144997,101823.0325,no rain
15.42242461,95.73669967,3.66960217,1.27386016,103509.5575,no rain
26.57695508,39.04094778,16.37732135,61.91335641,102493.3267,no rain
16.58305942,35.1238109,10.72853112,9.894596465,103205.6292,no rain
10.51627499,40.78820186,12.92215068,14.83895355,99526.55781,no rain
28.95946635,47.14931469,8.577967827,9.911316293,102445.3493,no rain
18.00042877,71.50624236,8.712642594,76.46654092,99916.49019,rain
19.58659735,72.86976744,2.508080276,88.33784035,99615.25412,rain
